station,split,score
201,0,4.1009869776040535
201,1,2.7495088059402604
201,2,3.9084401770306374
201,3,1.893016556771033
201,4,4.144171019054595
201,5,5.824544992468672
201,6,2.6335782639407563
201,7,2.100465339172402
201,8,3.928755600098059
201,9,2.848469487380616
202,0,3.6705874386069777
202,1,3.3745531944276346
202,2,3.4933132394076005
202,3,1.620524913624695
202,4,1.8968426806973024
202,5,3.308495087791425
202,6,2.934806571756681
202,7,2.3364020009149353
202,8,1.9834967488033095
202,9,2.3077613016925014
203,0,4.471349302306608
203,1,2.5199604214070463
203,2,3.579376056567732
203,3,2.478251373207001
203,4,2.8317885733616612
203,5,3.1257906384183087
203,6,1.3552681989094728
203,7,3.507729692114863
203,8,2.247236530105618
203,9,2.9909652063442604
204,0,6.087180791927342
204,1,5.164096490990189
204,2,3.843142554990834
204,3,3.5635379724205523
204,4,4.997032411228373
204,5,3.8690687582646794
204,6,3.1448525203507307
204,7,3.5148194876020296
204,8,3.4261955044816297
204,9,2.5712712399996116
205,0,2.548671425007701
205,1,4.421928543440198
205,2,2.2476628905303504
205,3,3.3380314841018723
205,4,3.164027315047993
205,5,3.424691267938159
205,6,5.020655734001052
205,7,1.684296547330771
205,8,1.502585609429872
205,9,3.6157666143064433
206,0,4.515421819079003
206,1,4.655074143922145
206,2,3.315258813552859
206,3,3.490142892852327
206,4,2.659533287161558
206,5,5.112565488761573
206,6,2.4019740589509184
206,7,2.884526860787588
206,8,3.5471891016540127
206,9,2.727699082391616
207,0,3.9368568925446286
207,1,3.7356302013816256
207,2,2.359916471284558
207,3,2.5854015549773663
207,4,3.5504515294364873
207,5,2.9787954693922094
207,6,3.2180143756340693
207,7,2.5934097204712723
207,8,1.7892860898366105
207,9,1.6749771455469065
208,0,5.764736814894052
208,1,4.533437881669555
208,2,3.231364101424153
208,3,4.161814281260442
208,4,5.908991712911728
208,5,6.661783184794113
208,6,3.7721870067873597
208,7,4.907945404859023
208,8,3.9091254262377175
208,9,2.725163903524196
209,0,3.456465950129533
209,1,3.5400767381195917
209,2,4.341418017485921
209,3,3.769885402701365
209,4,3.833468524856101
209,5,0.8035686557239063
209,6,7.130267072680974
209,7,2.162006517596852
209,8,1.7088661788383988
209,9,2.9917307098276975
210,0,1.3887203694716168
210,1,2.031397739067262
210,2,2.362065734020394
210,3,1.2462057130120041
210,4,1.564620973982054
210,5,1.8100043566950257
210,6,2.4389114688417535
210,7,3.2236689471837177
210,8,1.5269320974503164
210,9,3.1106774416235434
211,0,2.3811269840139264
211,1,1.3488365595769602
211,2,1.715202019544523
211,3,1.2376722640108488
211,4,2.2761248691790334
211,5,2.1549767716774855
211,6,1.2625655804696259
211,7,1.5019426929347515
211,8,2.0876032607831845
211,9,2.188022903946868
212,0,4.842319638438652
212,1,3.158655673869474
212,2,5.571075061043566
212,3,7.03491727135698
212,4,2.260208138494396
212,5,3.7277836781500024
212,6,2.403168712376309
212,7,4.557003965487733
212,8,2.627048337096723
212,9,2.19302094381122
213,0,2.5397874282019344
213,1,2.15083123966402
213,2,2.0582408579426072
213,3,2.192436499353807
213,4,1.6565914426609245
213,5,2.316627082195366
213,6,1.6541240097982897
213,7,3.3943700011866724
213,8,2.8249681516738705
213,9,2.8878197668510546
214,0,6.026229483966681
214,1,5.688598360881639
214,2,3.8001283241908896
214,3,3.590425538922017
214,4,3.7558491346908442
214,5,3.6049535278990934
214,6,4.25890158188042
214,7,3.1565054083286834
214,8,2.3403812590286845
214,9,3.138323735621034
215,0,2.892272751201315
215,1,4.41867886711959
215,2,6.8022346566670615
215,3,3.042810015677453
215,4,3.5849982533422238
215,5,3.3014790162085497
215,6,3.503021983218574
215,7,2.9857927912194095
215,8,2.6891221966054637
215,9,2.8696800146143713
216,0,5.679108489191614
216,1,4.326948942031181
216,2,5.674541008672892
216,3,3.410081129715264
216,4,3.4254532746763338
216,5,4.055696350732731
216,6,1.8376390378270964
216,7,3.3406660544386395
216,8,3.2950905852973884
216,9,2.78058640550573
217,0,3.626656084795252
217,1,3.459055360625307
217,2,3.3632925380722902
217,3,5.427052959088004
217,4,4.2953712000408
217,5,3.1211079874895304
217,6,2.836739966178644
217,7,2.9109839348773523
217,8,3.27176921853007
217,9,3.864846228734955
218,0,5.7848968498941735
218,1,5.089961587053435
218,2,2.9453568021297567
218,3,4.1324392895969515
218,4,3.914723744278753
218,5,4.39815518227248
218,6,5.25417643504482
218,7,3.5236358948622444
218,8,3.605361138071944
218,9,3.4233453968164698
219,0,3.952877595720512
219,1,4.2919709541085425
219,2,2.4055673700859956
219,3,3.9978813962160547
219,4,3.306204139403526
219,5,2.008759719109843
219,6,1.9915126371927476
219,7,5.829698561932659
219,8,4.783188424666352
219,9,3.3758296353044295
220,0,4.137598975189956
220,1,3.403294375735049
220,2,3.6445979493777996
220,3,3.095922546221347
220,4,2.709246289575876
220,5,2.705681618721905
220,6,2.758248138093614
220,7,5.455772735848856
220,8,2.6384786487486083
220,9,3.3121936239084637
221,0,5.834696148640488
221,1,3.730376698380368
221,2,3.0049030554616194
221,3,3.503576833596633
221,4,3.2007390000358162
221,5,2.4555303912664166
221,6,3.1718248874105264
221,7,3.5124233022994225
221,8,1.9712629877591965
221,9,2.9477364164257205
222,0,5.325653868433116
222,1,4.353210477684872
222,2,4.136544467595202
222,3,3.338212936178728
222,4,2.7700965504306585
222,5,2.6027976066977425
222,6,3.7767674468285217
222,7,2.733104701601658
222,8,2.078751322991876
222,9,2.0675896817287374
223,0,5.733765797324195
223,1,9.902175161728719
223,2,5.7962206223097335
223,3,3.0905793401966566
223,4,3.2777087761234163
223,5,2.907172095956683
223,6,4.5225319377570035
223,7,6.570996947215312
223,8,4.798349154351889
223,9,3.6721665612811916
224,0,5.278142420750654
224,1,6.026025779161015
224,2,3.534240228092704
224,3,3.6492208424922072
224,4,3.624997357214416
224,5,3.6833611852856607
224,6,4.066867101739581
224,7,4.064011498504233
224,8,4.840057243886792
224,9,4.4168792965205945
225,0,2.4394067593407507
225,1,3.1936191469029604
225,2,2.2115190593517533
225,3,1.855526296943679
225,4,4.192374793143643
225,5,3.041452862292254
225,6,1.889350690945358
225,7,2.9862685226321153
225,8,2.6118440666879383
225,9,2.8848802174726673
226,0,4.011391265433191
226,1,8.60555442350308
226,2,2.700409666420926
226,3,4.114671064458411
226,4,2.389112166508134
226,5,7.670973253258066
226,6,5.619170307959818
226,7,4.475343302329462
226,8,3.794314746157359
226,9,3.9591154605706094
227,0,2.648255285949558
227,1,1.7744087772931358
227,2,2.476453890984449
227,3,3.087231036432596
227,4,2.785329231809567
227,5,1.915607946698155
227,6,1.5902901301681318
227,7,3.720693544615165
227,8,2.0092530721703405
227,9,1.7204811635641937
228,0,8.087255329756529
228,1,8.180175372248637
228,2,7.454181622139284
228,3,4.150855008248981
228,4,3.9762856153102275
228,5,4.030891764101132
228,6,2.9244910584959345
228,7,5.674958013121327
228,8,4.920312687631994
228,9,9.180750346574882
229,0,5.031566309974484
229,1,6.45196718811954
229,2,5.3327968452796926
229,3,3.0737715542616684
229,4,5.473413158351545
229,5,4.700710726387531
229,6,3.684983192357637
229,7,3.134137862154517
229,8,2.7744926198998576
229,9,3.826343807559491
230,0,9.130787493227869
230,1,16.35780597041983
230,2,4.896581410650199
230,3,5.731757098376034
230,4,7.038057273810212
230,5,4.56145230685804
230,6,3.4134750808771943
230,7,4.426903883739203
230,8,3.829228325725925
230,9,4.990911218236052
231,0,5.812073542106522
231,1,6.848846492213971
231,2,3.7014927079707687
231,3,4.349854918796053
231,4,3.500189864832824
231,5,8.100069343848197
231,6,6.285926226962722
231,7,3.4599545959745197
231,8,3.830926485300326
231,9,3.5141904235466153
232,0,4.152720305294215
232,1,1.8533510419583803
232,2,3.2869384556884333
232,3,2.8702404971124524
232,4,5.831104884767241
232,5,2.5214184661350965
232,6,3.0011428494486947
232,7,3.2887792680682417
232,8,2.2153510664870795
232,9,2.2754597967993724
233,0,7.434413221289074
233,1,8.162087346092799
233,2,2.2392808334304526
233,3,4.114268714296049
233,4,5.629056797032188
233,5,4.0939416489762595
233,6,4.954184114691629
233,7,5.73066947690634
233,8,5.175716560389319
233,9,3.6141807494472045
234,0,5.487556148068126
234,1,5.5097195580262595
234,2,5.164024659270566
234,3,6.258794320306775
234,4,4.607806853599913
234,5,4.496396724394468
234,6,6.025172910136462
234,7,4.443238700977506
234,8,4.0263590028273475
234,9,4.007210405802299
235,0,6.662861325065942
235,1,3.542715915568195
235,2,3.8261940566142463
235,3,2.8121428051130923
235,4,4.013073217948076
235,5,2.6272511585634963
235,6,2.405639100604809
235,7,3.1578169663978115
235,8,2.569084238626761
235,9,3.6845329660383777
236,0,2.916623540714923
236,1,2.959925157627539
236,2,3.6962830225731103
236,3,3.4038517089966214
236,4,3.0932318777254113
236,5,2.75021227627916
236,6,2.7060301503134725
236,7,3.0759020576195137
236,8,2.7832108831954883
236,9,3.215446909145754
237,0,2.990588357726704
237,1,6.134738036927261
237,2,3.592437272193675
237,3,2.568067734152297
237,4,3.900750979482377
237,5,2.631971712461178
237,6,2.9364370818667735
237,7,3.24404204607363
237,8,2.3599808002846636
237,9,2.4976306535670196
238,0,2.6589191085207853
238,1,4.397920326359962
238,2,2.321250969194609
238,3,2.4800589681445473
238,4,1.9657634511227335
238,5,3.7178683217330617
238,6,2.0568660796475977
238,7,3.3190728529562756
238,8,3.8950359309268268
238,9,2.286188565059358
239,0,7.280147193965818
239,1,5.399520265556376
239,2,5.765891920838792
239,3,3.657619300196288
239,4,4.837208627421684
239,5,4.510965047069027
239,6,3.9693862460168967
239,7,4.919965031915403
239,8,3.200243410852454
239,9,3.703180306420652
240,0,7.911203196814956
240,1,4.687498782794634
240,2,8.934983705454567
240,3,9.441793165691282
240,4,3.9216817452622057
240,5,3.483449828668528
240,6,4.35590532906462
240,7,4.592488258153107
240,8,3.562707037862352
240,9,2.6767185585472615
241,0,4.705812155179843
241,1,3.6195391608993717
241,2,3.698256598395424
241,3,2.6738502320755115
241,4,1.9619390361839766
241,5,2.936989225287691
241,6,2.9408190422112876
241,7,2.233855926108614
241,8,2.3903505916918792
241,9,7.329565055587905
242,0,3.2144523186101335
242,1,4.601063579396388
242,2,3.94925007940619
242,3,3.168495501459699
242,4,4.185296650726363
242,5,4.098517567173807
242,6,3.297033863739426
242,7,3.085152906549855
242,8,2.7078725464895506
242,9,2.3072177036534196
243,0,4.987323191514995
243,1,4.439833669303056
243,2,5.377016344681859
243,3,5.440675404442554
243,4,5.536318630691637
243,5,3.9282078586602354
243,6,4.010339603098904
243,7,4.144168827502314
243,8,2.6729845749512218
243,9,2.7479776091760675
244,0,4.962615055634029
244,1,4.0779126191547395
244,2,3.358284357621885
244,3,3.0279207087063167
244,4,3.334928256753757
244,5,2.8551055972112853
244,6,3.5460814416986888
244,7,3.746539488107303
244,8,2.782268570736932
244,9,1.9663807399888658
245,0,5.890069519423133
245,1,2.877221687220516
245,2,8.782729934279034
245,3,5.051919071811928
245,4,4.648179829807376
245,5,2.4917714246764513
245,6,1.9520882014547927
245,7,2.1560083264895042
245,8,3.273431518832204
