station,split,score
201,0,4.004235578862444
201,1,2.879326770403303
201,2,2.8879879448909302
201,3,2.5428493894165527
201,4,4.80230426813302
201,5,3.30033208042915
201,6,2.80493540699862
201,7,3.280860888925538
201,8,4.931759236603867
201,9,2.7925880200180777
202,0,3.044776119402985
202,1,3.8358208955223883
202,2,2.656716417910448
202,3,1.537313432835821
202,4,2.1791044776119404
202,5,3.8955223880597014
202,6,4.447761194029851
202,7,2.8358208955223883
202,8,3.537313432835821
202,9,3.044776119402985
203,0,4.074626865671642
203,1,3.2686567164179103
203,2,3.5223880597014925
203,3,2.5223880597014925
203,4,4.253731343283582
203,5,3.8955223880597014
203,6,3.253731343283582
203,7,2.656716417910448
203,8,3.746268656716418
203,9,5.2388059701492535
204,0,6.313432835820896
204,1,4.91044776119403
204,2,3.5970149253731343
204,3,4.507462686567164
204,4,7.955223880597015
204,5,4.044776119402985
204,6,7.201492537313433
204,7,5.2835820895522385
204,8,6.776119402985074
204,9,8.208955223880597
205,0,2.8059701492537314
205,1,3.7761194029850746
205,2,1.537313432835821
205,3,2.8358208955223883
205,4,4.074626865671642
205,5,4.149253731343284
205,6,2.283582089552239
205,7,1.8805970149253732
205,8,2.343283582089552
205,9,5.08955223880597
206,0,5.582089552238806
206,1,5.507462686567164
206,2,4.417910447761194
206,3,4.492537313432836
206,4,6.208955223880597
206,5,7.029850746268656
206,6,6.537313432835821
206,7,4.313432835820896
206,8,6.343283582089552
206,9,6.014925373134329
207,0,2.4925373134328357
207,1,4.91044776119403
207,2,3.388059701492537
207,3,3.0597014925373136
207,4,4.880597014925373
207,5,4.417910447761194
207,6,4.402985074626866
207,7,3.208955223880597
207,8,3.8358208955223883
207,9,5.253731343283582
208,0,3.985074626865672
208,1,6.507462686567164
208,2,4.470149253731344
208,3,5.1940298507462686
208,4,9.701492537313433
208,5,9.850746268656716
208,6,8.044776119402986
208,7,6.298507462686567
208,8,7.417910447761194
208,9,9.492537313432836
209,0,3.2761194029850746
209,1,3.343283582089552
209,2,4.343283582089552
209,3,1.671641791044776
209,4,5.462686567164179
209,5,12.582089552238806
209,6,2.5074626865671643
209,7,2.208955223880597
209,8,1.791044776119403
209,9,3.8059701492537314
210,0,1.4019766034691408
210,1,2.1194029850746263
210,2,1.166905855338691
210,3,1.1514789687924014
210,4,1.471763987082133
210,5,1.7501733386855454
210,6,2.1767841464944184
210,7,2.8294714273934196
210,8,1.582211891362858
210,9,3.0458122974492388
211,0,1.0298507462686568
211,1,1.2537313432835822
211,2,1.6417910447761195
211,3,1.373134328358209
211,4,1.6567164179104477
211,5,2.253731343283582
211,6,1.1940298507462686
211,7,1.7164179104477613
211,8,1.671641791044776
211,9,1.7611940298507462
