model,mean,std,min,max,median,first_quartile,third_quartile
full,2.8841213312976515,0.1428934605616493,2.760292549420077,3.5343885863847944,2.822789886887806,2.789093272578555,2.922552784444732
full_temp,2.88621590891332,0.1425298616270687,2.760702009448138,3.5097722593538188,2.826571722747718,2.7917028215514756,2.921598462765642
short,2.8597142212908513,0.11379433190015034,2.7597012796355456,3.539598541087522,2.8174509743081804,2.791355662097387,2.8834202622132565
short_full,2.8774227583400336,0.13301224036467127,2.7611910390436702,3.5201070309293505,2.8242786876440853,2.7903542538190167,2.9067998197538545
short_full_temp,2.878793927090582,0.1331598164137731,2.762437766888439,3.4995914724711787,2.823786762895872,2.791910164910667,2.90845403399533
short_temp,2.8625873696613424,0.11408006318125073,2.7596444802971623,3.5381169767844307,2.8208125554285584,2.795085863197879,2.8871618066019096
