station,split,score
201,0,4.2835820895522385
201,1,3.8059701492537314
201,2,3.3059701492537314
201,3,2.611940298507463
201,4,4.559701492537314
201,5,2.671641791044776
201,6,2.425373134328358
201,7,2.5970149253731343
201,8,4.582089552238806
201,9,3.08955223880597
202,0,2.537313432835821
202,1,2.5970149253731343
202,2,2.6417910447761193
202,3,1.6865671641791045
202,4,2.5074626865671643
202,5,3.1940298507462686
202,6,3.1194029850746268
202,7,2.2388059701492535
202,8,2.8955223880597014
202,9,1.9776119402985075
203,0,5.029850746268656
203,1,2.6641791044776117
203,2,2.753731343283582
203,3,2.6791044776119404
203,4,2.5970149253731343
203,5,3.582089552238806
203,6,1.4029850746268657
203,7,3.014925373134328
203,8,1.955223880597015
203,9,3.4402985074626864
204,0,5.641791044776119
204,1,5.1716417910447765
204,2,3.611940298507463
204,3,2.5970149253731343
204,4,4.7164179104477615
204,5,3.8582089552238807
204,6,4.462686567164179
204,7,4.3283582089552235
204,8,4.059701492537314
204,9,4.776119402985074
205,0,2.671641791044776
205,1,2.716417910447761
205,2,3.0597014925373136
205,3,4.850746268656716
205,4,4.32089552238806
205,5,3.925373134328358
205,6,4.343283582089552
205,7,1.5522388059701493
205,8,1.5223880597014925
205,9,3.283582089552239
206,0,4.902985074626866
206,1,4.0
206,2,3.8805970149253732
206,3,4.17910447761194
206,4,2.8805970149253732
206,5,5.2388059701492535
206,6,3.2388059701492535
206,7,2.701492537313433
206,8,4.432835820895522
206,9,3.746268656716418
207,0,2.5522388059701493
207,1,4.611940298507463
207,2,4.104477611940299
207,3,1.8059701492537314
207,4,3.283582089552239
207,5,3.029850746268657
207,6,2.0
207,7,3.2686567164179103
207,8,2.5074626865671643
207,9,4.223880597014926
208,0,3.4029850746268657
208,1,5.447761194029851
208,2,4.865671641791045
208,3,4.985074626865671
208,4,4.731343283582089
208,5,7.358208955223881
208,6,3.746268656716418
208,7,3.656716417910448
208,8,4.567164179104478
208,9,3.985074626865672
209,0,3.5223880597014925
209,1,2.3582089552238807
209,2,2.8208955223880596
209,3,2.888059701492537
209,4,4.0
209,5,4.940298507462686
209,6,13.522388059701493
209,7,2.671641791044776
209,8,1.7014925373134329
209,9,2.9402985074626864
210,0,1.4477611940298507
210,1,2.074626865671642
210,2,1.7014925373134329
210,3,1.2537313432835822
210,4,1.507462686567164
210,5,1.7164179104477613
210,6,1.835820895522388
210,7,3.328358208955224
210,8,1.1791044776119404
210,9,2.7611940298507465
211,0,1.507462686567164
211,1,1.2686567164179106
211,2,1.492537313432836
211,3,1.4029850746268657
211,4,1.6567164179104477
211,5,2.0597014925373136
211,6,1.3432835820895523
211,7,1.5223880597014925
211,8,1.791044776119403
211,9,2.328358208955224
212,0,3.708955223880597
212,1,4.567164179104478
212,2,6.007462686567164
212,3,3.373134328358209
212,4,2.2686567164179103
212,5,4.686567164179104
212,6,3.283582089552239
212,7,3.925373134328358
212,8,4.119402985074627
212,9,2.611940298507463
213,0,2.9402985074626864
213,1,2.2686567164179103
213,2,1.828358208955224
213,3,2.2238805970149254
213,4,1.9701492537313432
213,5,1.9253731343283582
213,6,1.8955223880597014
213,7,3.4328358208955225
213,8,2.3582089552238807
213,9,4.0
214,0,5.440298507462686
214,1,7.895522388059701
214,2,4.119402985074627
214,3,3.4776119402985075
214,4,5.611940298507463
214,5,3.6194029850746268
214,6,3.716417910447761
214,7,3.2686567164179103
214,8,3.1791044776119404
214,9,3.5
215,0,7.940298507462686
215,1,12.402985074626866
215,2,3.2238805970149254
215,3,3.1641791044776117
215,4,4.880597014925373
215,5,4.813432835820896
215,6,3.970149253731343
215,7,3.1492537313432836
215,8,2.611940298507463
215,9,2.925373134328358
216,0,4.985074626865671
216,1,3.2611940298507465
216,2,6.447761194029851
216,3,4.253731343283582
216,4,3.8805970149253732
216,5,2.8955223880597014
216,6,2.3059701492537314
216,7,3.417910447761194
